,RunId,iteration,Step,N,D,width,height,gini,wealth_standard_deviation
0,0,0,1000,100,1,10,10,0.5796,1.1720654306553768
1,1,1,1000,100,1,10,10,0.5548,1.0824588545146516
2,2,2,1000,100,1,10,10,0.6288,1.263312944586414
3,3,3,1000,100,1,10,10,0.6008,1.1720654306553768
4,4,4,1000,100,1,10,10,0.6006,1.1891767800211264
5,5,5,1000,100,1,10,10,0.6186,1.2143918126978108
6,6,6,1000,100,1,10,10,0.5754,1.1009637651263606
7,7,7,1000,100,1,10,10,0.628,1.2552918289216957
8,8,8,1000,100,1,10,10,0.6408,1.2552918289216957
9,9,9,1000,100,1,10,10,0.5920000000000001,1.1720654306553768
10,10,10,1000,100,1,10,10,0.6335999999999999,1.2792042981336627
11,11,11,1000,100,1,10,10,0.6062000000000001,1.1547005383792515
12,12,12,1000,100,1,10,10,0.6622,1.3257359305592338
13,13,13,1000,100,1,10,10,0.593,1.1281521496355325
14,14,14,1000,100,1,10,10,0.6416,1.2712834523274563
15,15,15,1000,100,1,10,10,0.617,1.2390938363794468
16,16,16,1000,100,1,10,10,0.5938,1.1370704872299224
17,17,17,1000,100,1,10,10,0.6452,1.3333333333333333
18,18,18,1000,100,1,10,10,0.5866,1.1101005505463153
19,19,19,1000,100,1,10,10,0.6192,1.2060453783110545
20,20,20,1000,100,1,10,10,0.6632,1.3632996217214537
21,21,21,1000,100,1,10,10,0.627,1.2390938363794468
22,22,22,1000,100,1,10,10,0.595,1.2143918126978108
23,23,23,1000,100,1,10,10,0.5646,1.0730867399773196
24,24,24,1000,100,1,10,10,0.6934,1.5042028661807099
25,25,25,1000,100,1,10,10,0.6682,1.5109031348264133
26,26,26,1000,100,1,10,10,0.605,1.1720654306553768
27,27,27,1000,100,1,10,10,0.6218,1.2226812728383039
28,28,28,1000,100,1,10,10,0.5838,1.119162746219357
29,29,29,1000,100,1,10,10,0.6392,1.2870763988845637
30,30,30,1000,100,1,10,10,0.6052,1.1976407785072427
31,31,31,1000,100,1,10,10,0.6417999999999999,1.310408988511494
32,32,32,1000,100,1,10,10,0.5691999999999999,1.1101005505463153
33,33,33,1000,100,1,10,10,0.6534,1.318094737632215
34,34,34,1000,100,1,10,10,0.6134,1.1891767800211264
35,35,35,1000,100,1,10,10,0.5988,1.2792042981336627
36,36,36,1000,100,1,10,10,0.6118,1.2143918126978108
37,37,37,1000,100,1,10,10,0.6028,1.1976407785072427
38,38,38,1000,100,1,10,10,0.6002000000000001,1.1976407785072427
39,39,39,1000,100,1,10,10,0.6402,1.3026778945578592
