,RunId,iteration,Step,N,D,width,height,gini,wealth_standard_deviation
0,0,0,1000,100,0.0,10,10,0.7090000000000001,1.5827351342061329
1,1,0,1000,100,0.5,10,10,0.662,1.340887690293187
2,2,0,1000,100,1.0,10,10,0.6312,1.2870763988845637
3,3,1,1000,100,0.0,10,10,0.6732,1.428427121138506
4,4,1,1000,100,0.5,10,10,0.6457999999999999,1.348399724926484
5,5,1,1000,100,1.0,10,10,0.6504000000000001,1.348399724926484
6,6,2,1000,100,0.0,10,10,0.563,1.0824588545146516
7,7,2,1000,100,0.5,10,10,0.5886,1.145919418253881
8,8,2,1000,100,1.0,10,10,0.6088,1.1976407785072427
9,9,3,1000,100,0.0,10,10,0.6532,1.3257359305592338
10,10,3,1000,100,1.0,10,10,0.6388,1.2390938363794468
11,11,3,1000,100,0.5,10,10,0.5656,1.0824588545146516
12,12,4,1000,100,0.0,10,10,0.6474,1.3026778945578592
13,13,4,1000,100,0.5,10,10,0.6148,1.2712834523274563
14,14,5,1000,100,0.0,10,10,0.632,1.3026778945578592
15,15,4,1000,100,1.0,10,10,0.6084,1.1720654306553768
16,16,5,1000,100,0.5,10,10,0.6338,1.2712834523274563
17,17,6,1000,100,0.0,10,10,0.6754,1.428427121138506
18,18,5,1000,100,1.0,10,10,0.6950000000000001,1.483920551114581
19,19,6,1000,100,1.0,10,10,0.6166,1.2309149097933274
20,20,6,1000,100,0.5,10,10,0.6472,1.2949006435891817
21,21,7,1000,100,0.0,10,10,0.6799999999999999,1.4564381625088383
22,22,7,1000,100,0.5,10,10,0.6526000000000001,1.340887690293187
23,23,7,1000,100,1.0,10,10,0.6684,1.348399724926484
24,24,8,1000,100,0.0,10,10,0.6574,1.470243572207055
25,25,8,1000,100,0.5,10,10,0.5776,1.119162746219357
26,26,8,1000,100,1.0,10,10,0.6252,1.2552918289216957
27,27,9,1000,100,0.0,10,10,0.6852,1.5109031348264133
28,28,9,1000,100,0.5,10,10,0.625,1.3026778945578592
29,29,9,1000,100,1.0,10,10,0.6484000000000001,1.2712834523274563
30,30,10,1000,100,0.0,10,10,0.645,1.3853490243227224
31,31,10,1000,100,0.5,10,10,0.6462,1.2792042981336627
32,32,11,1000,100,0.0,10,10,0.6994,1.5763402186230246
33,33,10,1000,100,1.0,10,10,0.6417999999999999,1.263312944586414
34,34,11,1000,100,0.5,10,10,0.6096,1.1891767800211264
35,35,11,1000,100,1.0,10,10,0.6113999999999999,1.1891767800211264
36,36,12,1000,100,0.0,10,10,0.5948,1.2060453783110545
37,37,12,1000,100,0.5,10,10,0.5589999999999999,1.0917505172516255
38,38,13,1000,100,0.0,10,10,0.658,1.3706888336846839
39,39,12,1000,100,1.0,10,10,0.537,1.0150384378451045
40,40,14,1000,100,0.0,10,10,0.6182000000000001,1.2226812728383039
41,41,13,1000,100,0.5,10,10,0.6076,1.2060453783110545
42,42,13,1000,100,1.0,10,10,0.6122000000000001,1.2226812728383039
43,43,14,1000,100,0.5,10,10,0.6396,1.247219128924647
44,44,15,1000,100,0.0,10,10,0.6754,1.3998556924183148
45,45,14,1000,100,1.0,10,10,0.6092,1.2226812728383039
46,46,16,1000,100,0.0,10,10,0.665,1.428427121138506
47,47,15,1000,100,0.5,10,10,0.6006,1.1547005383792515
48,48,15,1000,100,1.0,10,10,0.6622,1.3632996217214537
49,49,16,1000,100,0.5,10,10,0.649,1.3026778945578592
50,50,16,1000,100,1.0,10,10,0.6328,1.263312944586414
51,51,17,1000,100,0.0,10,10,0.6764,1.4425006345953824
52,52,17,1000,100,1.0,10,10,0.6504000000000001,1.2870763988845637
53,53,17,1000,100,0.5,10,10,0.5942000000000001,1.1547005383792515
54,54,18,1000,100,0.0,10,10,0.6408,1.318094737632215
55,55,18,1000,100,1.0,10,10,0.6096,1.1891767800211264
56,56,18,1000,100,0.5,10,10,0.6066,1.247219128924647
57,57,19,1000,100,0.0,10,10,0.6852,1.4770978917519928
58,58,20,1000,100,0.0,10,10,0.6508,1.318094737632215
59,59,19,1000,100,0.5,10,10,0.671,1.3998556924183148
60,60,19,1000,100,1.0,10,10,0.606,1.1806521053804944
61,61,20,1000,100,0.5,10,10,0.5828,1.1101005505463153
62,62,21,1000,100,0.5,10,10,0.5394,1.0249414863810766
63,63,21,1000,100,0.0,10,10,0.6422,1.3926212476455828
64,64,20,1000,100,1.0,10,10,0.6362,1.340887690293187
65,65,21,1000,100,1.0,10,10,0.567,1.0730867399773196
66,66,22,1000,100,0.0,10,10,0.625,1.2143918126978108
67,67,22,1000,100,0.5,10,10,0.5826,1.145919418253881
68,68,22,1000,100,1.0,10,10,0.6474,1.3026778945578592
69,69,23,1000,100,0.0,10,10,0.6624,1.3780384243517665
70,70,23,1000,100,0.5,10,10,0.6448,1.263312944586414
71,71,24,1000,100,0.0,10,10,0.6602,1.4494861506789574
72,72,24,1000,100,0.5,10,10,0.5866,1.1101005505463153
73,73,23,1000,100,1.0,10,10,0.6318,1.2390938363794468
74,74,24,1000,100,1.0,10,10,0.6782,1.3998556924183148
75,75,25,1000,100,1.0,10,10,0.5554,1.063632046956621
76,76,25,1000,100,0.0,10,10,0.6424000000000001,1.340887690293187
77,77,25,1000,100,0.5,10,10,0.5794,1.1009637651263606
78,78,26,1000,100,0.0,10,10,0.7505999999999999,1.7232808737106582
79,79,26,1000,100,1.0,10,10,0.6312,1.247219128924647
80,80,26,1000,100,0.5,10,10,0.5988,1.1720654306553768
81,81,27,1000,100,1.0,10,10,0.5826,1.1634153830577252
82,82,27,1000,100,0.0,10,10,0.7086,1.5242153139344596
83,83,27,1000,100,0.5,10,10,0.6524000000000001,1.3257359305592338
84,84,28,1000,100,0.0,10,10,0.6868000000000001,1.4770978917519928
85,85,28,1000,100,0.5,10,10,0.634,1.3853490243227224
86,86,28,1000,100,1.0,10,10,0.5988,1.1976407785072427
87,87,29,1000,100,1.0,10,10,0.634,1.3026778945578592
88,88,29,1000,100,0.0,10,10,0.6334,1.4633571475938953
89,89,29,1000,100,0.5,10,10,0.5902000000000001,1.1634153830577252
90,90,30,1000,100,0.0,10,10,0.6799999999999999,1.4564381625088383
91,91,30,1000,100,0.5,10,10,0.5708,1.119162746219357
92,92,30,1000,100,1.0,10,10,0.6292,1.247219128924647
93,93,31,1000,100,0.0,10,10,0.6546000000000001,1.310408988511494
94,94,31,1000,100,0.5,10,10,0.6358,1.2949006435891817
95,95,31,1000,100,1.0,10,10,0.585,1.1370704872299224
96,96,32,1000,100,0.0,10,10,0.6444000000000001,1.3026778945578592
97,97,32,1000,100,1.0,10,10,0.6496,1.348399724926484
98,98,32,1000,100,0.5,10,10,0.6002000000000001,1.1720654306553768
99,99,33,1000,100,0.0,10,10,0.6394,1.318094737632215
100,100,33,1000,100,0.5,10,10,0.616,1.2390938363794468
101,101,34,1000,100,0.0,10,10,0.6597999999999999,1.4142135623730951
102,102,34,1000,100,0.5,10,10,0.6638,1.3706888336846839
