Flow;Density;AveSpeed;Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday
4;0.16666666666666666;24.0;0;0;0;0;0;0;1
5;0.22727272727272727;22.0;0;0;0;0;0;0;1
14;0.4537037037037037;30.857142857142858;0;0;0;0;0;0;1
9;0.3875598086124402;23.22222222222222;0;0;0;0;0;0;1
6;0.21818181818181817;27.5;0;0;0;0;0;0;1
18;0.6545454545454545;27.5;0;0;0;0;0;0;1
8;0.39751552795031053;20.125;0;0;0;0;0;0;1
9;0.4821428571428571;18.666666666666668;0;0;0;0;0;0;1
11;0.521551724137931;21.09090909090909;0;0;0;0;0;0;1
6;0.33644859813084116;17.833333333333332;0;0;0;0;0;0;1
2;0.1;20.0;0;0;0;0;0;0;1
6;0.2926829268292683;20.5;0;0;0;0;0;0;1
7;0.40495867768595045;17.285714285714285;0;0;0;0;0;0;1
9;0.36986301369863017;24.333333333333332;0;0;0;0;0;0;1
10;0.4273504273504274;23.4;0;0;0;0;0;0;1
7;0.44144144144144143;15.857142857142858;0;0;0;0;0;0;1
6;0.2748091603053435;21.833333333333332;0;0;0;0;0;0;1
10;0.558659217877095;17.9;0;0;0;0;0;0;1
10;0.7092198581560284;14.1;0;0;0;0;0;0;1
4;0.19047619047619047;21.0;0;0;0;0;0;0;1
5;0.26595744680851063;18.8;0;0;0;0;0;0;1
6;0.2571428571428572;23.333333333333332;0;0;0;0;0;0;1
4;0.17204301075268819;23.25;0;0;0;0;0;0;1
5;0.2631578947368421;19.0;0;0;0;0;0;0;1
5;0.17985611510791366;27.8;0;0;0;0;0;0;1
4;0.21621621621621623;18.5;0;0;0;0;0;0;1
3;0.20930232558139533;14.333333333333334;0;0;0;0;0;0;1
5;0.26881720430107525;18.6;0;0;0;0;0;0;1
2;0.10256410256410256;19.5;0;0;0;0;0;0;1
6;0.3;20.0;0;0;0;0;0;0;1
3;0.10465116279069767;28.666666666666668;0;0;0;0;0;0;1
5;0.25;20.0;0;0;0;0;0;0;1
5;0.2293577981651376;21.8;0;0;0;0;0;0;1
3;0.22499999999999998;13.333333333333334;0;0;0;0;0;0;1
3;0.14516129032258063;20.666666666666668;0;0;0;0;0;0;1
6;0.33644859813084116;17.833333333333332;0;0;0;0;0;0;1
1;0.1;10.0;0;0;0;0;0;0;1
2;0.08695652173913043;23.0;0;0;0;0;0;0;1
0;0.0;0.0;0;0;0;0;0;0;1
1;0.03125;32.0;0;0;0;0;0;0;1
3;0.10714285714285714;28.0;0;0;0;0;0;0;1
3;0.18;16.666666666666668;0;0;0;0;0;0;1
1;0.06666666666666667;15.0;0;0;0;0;0;0;1
3;0.08910891089108912;33.666666666666664;0;0;0;0;0;0;1
2;0.0547945205479452;36.5;0;0;0;0;0;0;1
4;0.14545454545454545;27.5;0;0;0;0;0;0;1
1;0.038461538461538464;26.0;0;0;0;0;0;0;1
1;0.058823529411764705;17.0;0;0;0;0;0;0;1
2;0.08163265306122448;24.5;0;0;0;0;0;0;1
2;0.0784313725490196;25.5;0;0;0;0;0;0;1
2;0.13793103448275862;14.5;0;0;0;0;0;0;1
4;0.1951219512195122;20.5;0;0;0;0;0;0;1
2;0.08333333333333333;24.0;0;0;0;0;0;0;1
2;0.12121212121212122;16.5;0;0;0;0;0;0;1
3;0.1139240506329114;26.333333333333332;0;0;0;0;0;0;1
3;0.12162162162162161;24.666666666666668;0;0;0;0;0;0;1
5;0.2293577981651376;21.8;0;0;0;0;0;0;1
1;0.045454545454545456;22.0;0;0;0;0;0;0;1
4;0.1553398058252427;25.75;0;0;0;0;0;0;1
3;0.09890109890109891;30.333333333333332;0;0;0;0;0;0;1
0;0.0;0.0;0;0;0;0;0;0;1
1;0.037037037037037035;27.0;0;0;0;0;0;0;1
5;0.24038461538461536;20.8;0;0;0;0;0;0;1
2;0.06666666666666667;30.0;0;0;0;0;0;0;1
0;0.0;0.0;0;0;0;0;0;0;1
0;0.0;0.0;0;0;0;0;0;0;1
0;0.0;0.0;0;0;0;0;0;0;1
4;0.16666666666666666;24.0;0;0;0;0;0;0;1
4;0.12903225806451613;31.0;0;0;0;0;0;0;1
0;0.0;0.0;0;0;0;0;0;0;1
1;0.023809523809523808;42.0;0;0;0;0;0;0;1
2;0.09302325581395349;21.5;0;0;0;0;0;0;1
2;0.05405405405405406;37.0;0;0;0;0;0;0;1
6;0.17142857142857143;35.0;0;0;0;0;0;0;1
5;0.16233766233766234;30.8;0;0;0;0;0;0;1
5;0.18248175182481752;27.4;0;0;0;0;0;0;1
2;0.05263157894736842;38.0;0;0;0;0;0;0;1
2;0.041237113402061855;48.5;0;0;0;0;0;0;1
6;0.19672131147540983;30.5;0;0;0;0;0;0;1
12;0.37209302325581395;32.25;0;0;0;0;0;0;1
9;0.25878594249201275;34.77777777777778;0;0;0;0;0;0;1
4;0.14814814814814814;27.0;0;0;0;0;0;0;1
8;0.3106796116504854;25.75;0;0;0;0;0;0;1
15;0.4912663755458515;30.533333333333335;0;0;0;0;0;0;1
8;0.25196850393700787;31.75;0;0;0;0;0;0;1
8;0.270042194092827;29.625;0;0;0;0;0;0;1
22;0.7034883720930233;31.272727272727273;0;0;0;0;0;0;1
4;0.16666666666666666;24.0;0;0;0;0;0;0;1
6;0.20689655172413793;29.0;0;0;0;0;0;0;1
15;0.5461165048543689;27.466666666666665;0;0;0;0;0;0;1
